custody_agency,date_of_release,sex,age,race_ethnicity,zip
PDP,2015-12-15 00:00:00,Male,60,Black,19139
PDP,2015-02-18 00:00:00,Female,59,Black,19140
PDP,2015-12-14 00:00:00,Male,64,Black,19150
PDP,2015-07-06 00:00:00,Male,59,Black,
PDP,2015-06-03 00:00:00,Male,57,Black,
PDP,2015-03-16 00:00:00,Male,59,Black,
PDP,2015-01-06 00:00:00,Male,59,Black,19130
PDP,2015-07-21 00:00:00,Male,61,Black,19133
PDP,2015-08-11 00:00:00,Male,62,Black,
PDP,2015-05-26 00:00:00,Male,59,White,19120
PDP,2015-06-01 00:00:00,Male,57,Black,
State,2015-04-06 00:00:00,Male,59,Black,19121
PDP,2015-06-28 00:00:00,Male,70,Black,19139
PDP,2015-07-24 00:00:00,Female,62,Black,
PDP,2015-04-19 00:00:00,Male,58,Black,19150
PDP,2015-04-12 00:00:00,Male,59,Black,19121
PDP,2015-02-06 00:00:00,Male,57,Black,19131
State,2015-06-01 00:00:00,Male,59,Black,19132
PDP,2015-10-14 00:00:00,Male,59,Black,
PDP,2015-07-27 00:00:00,Female,57,Black,19145
PDP,2015-11-10 00:00:00,Female,61,Black,19140
State,2015-05-18 00:00:00,Male,58,Black,19128
PDP,2015-01-26 00:00:00,Male,57,Black,
State,2015-01-08 00:00:00,Male,60,Black,19139
State,2015-05-11 00:00:00,Male,59,Black,19129
State,2015-04-20 00:00:00,Male,59,Black,19133
PDP,2015-02-25 00:00:00,Male,59,Black,19144
State,2015-09-27 00:00:00,Male,59,Black,19144
PDP,2015-05-07 00:00:00,Male,60,Black,
PDP,2015-09-21 00:00:00,Male,61,Hispanic,19123
State,2015-02-23 00:00:00,Male,59,White,19121
PDP,2015-06-23 00:00:00,Male,60,Black,19121
State,2015-07-05 00:00:00,Male,58,White,19134
State,2015-10-05 00:00:00,Male,60,White,19116
PDP,2015-05-05 00:00:00,Male,66,Black,19140
PDP,2015-04-10 00:00:00,Male,59,Black,19120
State,2015-11-19 00:00:00,Male,59,Black,19138
PDP,2015-08-06 00:00:00,Male,61,Black,19116
PDP,2015-10-30 00:00:00,Male,70,Black,19104
PDP,2015-06-16 00:00:00,Male,59,Black,19132
PDP,2015-12-21 00:00:00,Male,59,Black,19121
State,2015-03-12 00:00:00,Male,58,Black,19144
PDP,2015-11-05 00:00:00,Male,62,Black,19148
PDP,2015-04-20 00:00:00,Male,66,Black,
State,2015-09-07 00:00:00,Male,60,Black,19119
PDP,2015-03-27 00:00:00,Male,59,Black,19124
PDP,2015-04-07 00:00:00,Male,57,Black,
State,2015-11-12 00:00:00,Male,57,Black,19121
PDP,2015-03-17 00:00:00,Male,59,Black,
State,2015-11-19 00:00:00,Male,60,Black,19122
PDP,2015-04-21 00:00:00,Male,58,Black,
State,2015-09-30 00:00:00,Male,62,Black,19143
State,2015-02-18 00:00:00,Male,57,Black,19140
PDP,2015-03-16 00:00:00,Male,57,White,19146
PDP,2015-10-13 00:00:00,Male,60,White,19124
State,2015-07-23 00:00:00,Male,57,Black,19120
State,2015-07-06 00:00:00,Male,64,Black,19129
PDP,2015-05-29 00:00:00,Male,59,Black,19138
PDP,2015-11-16 00:00:00,Male,60,Black,19140
